Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL', 'short_window_frac': 32}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 1,966,336
  scalars                 : 6
  total                   : 10,354,950
Estimated FLOPs per token: 3.106560e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010937 | lrm: 1.00 | dt: 1208ms | tok/sec: 27,126 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.953341 | lrm: 1.00 | dt: 760ms | tok/sec: 43,101 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.736033 | lrm: 1.00 | dt: 765ms | tok/sec: 42,842 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.436051 | lrm: 1.00 | dt: 775ms | tok/sec: 42,287 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.132675 | lrm: 1.00 | dt: 768ms | tok/sec: 42,682 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.857538 | lrm: 1.00 | dt: 776ms | tok/sec: 42,249 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.628935 | lrm: 1.00 | dt: 752ms | tok/sec: 43,552 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.442322 | lrm: 1.00 | dt: 746ms | tok/sec: 43,947 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.266189 | lrm: 1.00 | dt: 778ms | tok/sec: 42,094 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.118390 | lrm: 1.00 | dt: 773ms | tok/sec: 42,391 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.996894 | lrm: 1.00 | dt: 762ms | tok/sec: 43,026 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.878456 | lrm: 1.00 | dt: 780ms | tok/sec: 42,032 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.783588 | lrm: 1.00 | dt: 781ms | tok/sec: 41,973 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.691325 | lrm: 1.00 | dt: 785ms | tok/sec: 41,754 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.604988 | lrm: 1.00 | dt: 780ms | tok/sec: 41,995 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.529998 | lrm: 1.00 | dt: 755ms | tok/sec: 43,390 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.450977 | lrm: 1.00 | dt: 756ms | tok/sec: 43,368 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 6.384171 | lrm: 1.00 | dt: 773ms | tok/sec: 42,415 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00018 (1.8%) | loss: 6.333235 | lrm: 1.00 | dt: 743ms | tok/sec: 44,075 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00019 (2.1%) | loss: 6.275664 | lrm: 1.00 | dt: 756ms | tok/sec: 43,344 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00020 (2.3%) | loss: 6.238042 | lrm: 1.00 | dt: 744ms | tok/sec: 44,055 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00021 (2.6%) | loss: 6.183138 | lrm: 1.00 | dt: 772ms | tok/sec: 42,428 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00022 (2.8%) | loss: 6.146102 | lrm: 1.00 | dt: 745ms | tok/sec: 44,012 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00023 (3.1%) | loss: 6.107086 | lrm: 1.00 | dt: 748ms | tok/sec: 43,805 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00024 (3.3%) | loss: 6.062592 | lrm: 1.00 | dt: 742ms | tok/sec: 44,190 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00025 (3.6%) | loss: 6.021503 | lrm: 1.00 | dt: 747ms | tok/sec: 43,853 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00026 (3.8%) | loss: 5.984181 | lrm: 1.00 | dt: 778ms | tok/sec: 42,130 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00027 (4.1%) | loss: 5.957828 | lrm: 1.00 | dt: 790ms | tok/sec: 41,501 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00028 (4.3%) | loss: 5.919747 | lrm: 1.00 | dt: 771ms | tok/sec: 42,506 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00029 (4.6%) | loss: 5.896293 | lrm: 1.00 | dt: 742ms | tok/sec: 44,138 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00030 (4.8%) | loss: 5.872229 | lrm: 1.00 | dt: 767ms | tok/sec: 42,699 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00031 (5.1%) | loss: 5.842610 | lrm: 1.00 | dt: 762ms | tok/sec: 43,006 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00032 (5.3%) | loss: 5.822603 | lrm: 1.00 | dt: 771ms | tok/sec: 42,528 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00033 (5.6%) | loss: 5.797138 | lrm: 1.00 | dt: 775ms | tok/sec: 42,291 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00034 (5.9%) | loss: 5.775019 | lrm: 1.00 | dt: 756ms | tok/sec: 43,326 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00035 (6.1%) | loss: 5.755327 | lrm: 1.00 | dt: 774ms | tok/sec: 42,350 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00036 (6.4%) | loss: 5.730879 | lrm: 1.00 | dt: 786ms | tok/sec: 41,706 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00037 (6.6%) | loss: 5.721968 | lrm: 1.00 | dt: 779ms | tok/sec: 42,088 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00038 (6.9%) | loss: 5.697283 | lrm: 1.00 | dt: 752ms | tok/sec: 43,598 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00039 (7.1%) | loss: 5.673071 | lrm: 1.00 | dt: 744ms | tok/sec: 44,064 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00040 (7.4%) | loss: 5.659378 | lrm: 1.00 | dt: 782ms | tok/sec: 41,924 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00041 (7.6%) | loss: 5.643708 | lrm: 1.00 | dt: 769ms | tok/sec: 42,612 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00042 (7.9%) | loss: 5.630338 | lrm: 1.00 | dt: 743ms | tok/sec: 44,089 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00043 (8.1%) | loss: 5.605532 | lrm: 1.00 | dt: 748ms | tok/sec: 43,780 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00044 (8.4%) | loss: 5.579970 | lrm: 1.00 | dt: 774ms | tok/sec: 42,344 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00045 (8.7%) | loss: 5.563816 | lrm: 1.00 | dt: 749ms | tok/sec: 43,777 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00046 (8.9%) | loss: 5.543045 | lrm: 1.00 | dt: 774ms | tok/sec: 42,318 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00047 (9.2%) | loss: 5.527617 | lrm: 1.00 | dt: 782ms | tok/sec: 41,877 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00048 (9.4%) | loss: 5.511906 | lrm: 1.00 | dt: 790ms | tok/sec: 41,454 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00049 (9.7%) | loss: 5.505470 | lrm: 1.00 | dt: 757ms | tok/sec: 43,264 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00050 (9.9%) | loss: 5.485851 | lrm: 1.00 | dt: 785ms | tok/sec: 41,724 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00051 (10.2%) | loss: 5.478599 | lrm: 1.00 | dt: 787ms | tok/sec: 41,657 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00052 (10.5%) | loss: 5.465415 | lrm: 1.00 | dt: 787ms | tok/sec: 41,642 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00053 (10.7%) | loss: 5.449223 | lrm: 1.00 | dt: 792ms | tok/sec: 41,399 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00054 (11.0%) | loss: 5.434726 | lrm: 1.00 | dt: 779ms | tok/sec: 42,081 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00055 (11.2%) | loss: 5.424925 | lrm: 1.00 | dt: 785ms | tok/sec: 41,758 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00056 (11.5%) | loss: 5.410203 | lrm: 1.00 | dt: 778ms | tok/sec: 42,106 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00057 (11.8%) | loss: 5.395069 | lrm: 1.00 | dt: 780ms | tok/sec: 42,020 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00058 (12.0%) | loss: 5.390094 | lrm: 1.00 | dt: 777ms | tok/sec: 42,163 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00059 (12.3%) | loss: 5.368857 | lrm: 1.00 | dt: 755ms | tok/sec: 43,424 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00060 (12.5%) | loss: 5.362388 | lrm: 1.00 | dt: 776ms | tok/sec: 42,231 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00061 (12.8%) | loss: 5.357761 | lrm: 1.00 | dt: 778ms | tok/sec: 42,117 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00062 (13.1%) | loss: 5.350295 | lrm: 1.00 | dt: 774ms | tok/sec: 42,321 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00063 (13.3%) | loss: 5.341654 | lrm: 1.00 | dt: 776ms | tok/sec: 42,212 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00064 (13.6%) | loss: 5.327711 | lrm: 1.00 | dt: 788ms | tok/sec: 41,602 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00065 (13.8%) | loss: 5.334065 | lrm: 1.00 | dt: 771ms | tok/sec: 42,481 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00066 (14.1%) | loss: 5.327170 | lrm: 1.00 | dt: 767ms | tok/sec: 42,732 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00067 (14.4%) | loss: 5.322101 | lrm: 1.00 | dt: 788ms | tok/sec: 41,558 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00068 (14.6%) | loss: 5.303813 | lrm: 1.00 | dt: 782ms | tok/sec: 41,910 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00069 (14.9%) | loss: 5.294858 | lrm: 1.00 | dt: 783ms | tok/sec: 41,860 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00070 (15.1%) | loss: 5.283769 | lrm: 1.00 | dt: 773ms | tok/sec: 42,397 | mfu: 0.1% | epoch: 1 | remaining: 254s    
